"rule_index","is_default","conditions_raw","predicted_class","n_covered","n_errors","support_pct","precision_pct","threshold_low_med","threshold_med_high","target_detrended","region","detrend_method"
1,FALSE,"(iaf_fl_y0_a10 >= 2.40493) and (tm_bb_y0_a30 >= 13.341667) and (rf_fl_y1_a10 <= 15.9)","Medium",13,1,16.2,92.3,-219.825,120.4,TRUE,"RVV","linear"
2,FALSE,"(tm_fl_y1_b10 >= 19.26) and (iaf_fl_y1_b10 >= 2.203642)","Medium",9,1,11.2,88.9,-219.825,120.4,TRUE,"RVV","linear"
3,FALSE,"(swa_fl_y1_a30 <= 123.564982) and (tm_fl_y1_c15 >= 16.606667)","High",21,3,26.2,85.7,-219.825,120.4,TRUE,"RVV","linear"
4,TRUE,"(default)","Low",37,12,46.2,67.6,-219.825,120.4,TRUE,"RVV","linear"
