"rule_rank","n_instances","error_pct","n_conditions","sentences","features","condition_3","linear_model_raw","raw_conditions"
1,NA,NA,2,"IF",NA,NA,"Wine_mhl = -13.2577 * tm_fl_y0_b10 - 40.7199 * tm_fl_y0_a10 + 17.1571 * tm_sm_y0_a20 - 24.8711 * tm_hv_y1_b20 - 2063.7854 * iaf_bb_y1_c10 - 8.1184 * swa_fl_y1_a30 + 2419.7711 [41/67.641%]","IF AND swa_fl_y1_a15 > 131.364 AND THEN"
1,NA,NA,2,"Available soil water in the 15 days after Flowering (current year) > 131.364 mm","swa_fl_y1_a15",NA,"Wine_mhl = -13.2577 * tm_fl_y0_b10 - 40.7199 * tm_fl_y0_a10 + 17.1571 * tm_sm_y0_a20 - 24.8711 * tm_hv_y1_b20 - 2063.7854 * iaf_bb_y1_c10 - 8.1184 * swa_fl_y1_a30 + 2419.7711 [41/67.641%]","IF AND swa_fl_y1_a15 > 131.364 AND THEN"
1,NA,NA,2,"THEN",NA,NA,"Wine_mhl = -13.2577 * tm_fl_y0_b10 - 40.7199 * tm_fl_y0_a10 + 17.1571 * tm_sm_y0_a20 - 24.8711 * tm_hv_y1_b20 - 2063.7854 * iaf_bb_y1_c10 - 8.1184 * swa_fl_y1_a30 + 2419.7711 [41/67.641%]","IF AND swa_fl_y1_a15 > 131.364 AND THEN"
2,NA,NA,2,"IF",NA,NA,"Wine_mhl = 24.1079 * tm_fl_y1_c15 - 24.0915 * tm_fl_y0_b10 + 46.6995 * tm_sm_y0_a20 - 49.5548 * tm_hv_y1_b20 + 5.1021 * rf_hv_y0_a10 - 1.7369 * swa_hv_y1_b20 + 227.8692 [31/73.261%]","IF AND tm_hv_y1_b20 > 16.764 AND THEN"
2,NA,NA,2,"Mean daily temperature in the 20 days before Harvest (current year) > 16.764 °C","tm_hv_y1_b20",NA,"Wine_mhl = 24.1079 * tm_fl_y1_c15 - 24.0915 * tm_fl_y0_b10 + 46.6995 * tm_sm_y0_a20 - 49.5548 * tm_hv_y1_b20 + 5.1021 * rf_hv_y0_a10 - 1.7369 * swa_hv_y1_b20 + 227.8692 [31/73.261%]","IF AND tm_hv_y1_b20 > 16.764 AND THEN"
2,NA,NA,2,"THEN",NA,NA,"Wine_mhl = 24.1079 * tm_fl_y1_c15 - 24.0915 * tm_fl_y0_b10 + 46.6995 * tm_sm_y0_a20 - 49.5548 * tm_hv_y1_b20 + 5.1021 * rf_hv_y0_a10 - 1.7369 * swa_hv_y1_b20 + 227.8692 [31/73.261%]","IF AND tm_hv_y1_b20 > 16.764 AND THEN"
3,NA,NA,2,"(no conditions — applies to all remaining years)",NA,NA,"Wine_mhl = -151.6016 * tm_fl_y0_b10 + 3455.2925 [8/59.917%]","(default)"
