"Year","Wine_mhl","Fl_Y1_Tm_C","Fl_Y1_Tm_B1","Fl_Y1_Tm_A1","Fl_Y0_Tm_B1","Fl_Y0_Tm_A1","sM_Y1_Tm_C","sM_Y1_Tm_A1","sM_Y0_Tm_B1","H_Y1_Tm_C","H_Y1_Tm_B1","H_Y0_Tm_A1","Fl_Y1_Tmed_less_15_C","Fl_Y1_Tmed_less_15_B1","BB_Y1_Tmmin_less_0_C","FL_Y1_Tmmin_less_0_A1","FL_Y1_Tmmax_above_35_A1","FL_Y1_Tmmax_above_35_A2","sM_Y1_Tmmax_above_35_B1","sM_Y1_Tmmax_above_35_A1","FL_Y1_rs_A1","H_Y1_rs_B1","H_Y1_rs_A1","FL_Y1_rain_above_1mm_C","FL_Y1_rain_above_1mm_A1","sM_Y1_rain_above_1mm_B1","sM_Y1_rain_above_1mm_A1","H_Y1_rain_above_1mm_C","H_Y1_rain_above_1mm_A1","BB_Y1_Iaf_C","FL_Y1_Iaf_B1","FL_Y1_Iaf_B2","FL_Y1_Iaf_B3","FL_Y1_Iaf_A1","H_Y1_Iaf_C","FL_Y1_swa_A1","FL_Y1_swa_A2","H_Y0_swa_A1","H_Y0_swa_A2","FL_Y1_swc_Sm1.5Wp_A1","FL_Y1_swc_Sm1.5Wp_A2","H_Y1_swc_Sm1.5Wp_B1","H_Y1_swc_Sm1.5Wp_A1","FL_Y0_swc_Sm1.5Wp_A1","FL_Y0_swc_Sm1.5Wp_A2","FL_Y1_swc_Sm_0.9Fc_A1","FL_Y1_swc_Sm_0.9Fc_A2","FL_Y0_swc_Sm_0.9Fc_A1","FL_Y0_swc_Sm_0.9Fc_A2"
1944,1045.9,19.2766666666667,19.645,18.17,18.065,16.97,22.0833333333333,19.665,22.055,20.7590909090909,22.6025,21.8933333333333,1,0,0,0,0,0,7,0,5.2,12,16.4,1,2,1,1,3,3,0.00463891968347503,0.598505532327231,0.449032395579461,0.326130906877939,0.900022879051676,1.50989999999964,365.495606779913,359.760200235158,74.5566739205515,77.9487089309727,10,20,20,20,10,20,10,20,10,20
1945,643.7,17.9033333333333,20.475,15.365,19.645,18.17,22.9738095238095,23.68,24.665,21.0863636363636,21.5075,19.7733333333333,3,2,0,0,0,0,3,4,11.4,9.6,1.2,3,6,3,3,3,2,0.001454492326424,0.615853686702312,0.433474440401241,0.301648108237247,0.961092524143849,1.50989999999919,381.412622166976,376.86258469835,82.2232074705706,80.4808632621857,10,20,20,20,10,20,10,20,10,20
1946,638.6,14.6533333333333,14.49,15.23,20.475,15.365,23.9571428571429,23.795,21.035,20.4681818181818,21.1175,21.4633333333333,7,6,0,0,0,0,3,5,65.5,2.2,6,8,8,0,0,1,1,0.00345262150516226,0.564082187913957,0.388030231126154,0.267222807851474,0.840487900685257,1.50989999999928,402.903358700631,402.188963410768,79.6006874229583,78.2150050856127,10,20,20,20,10,20,10,20,10,20
1947,958.7,17.3733333333333,15.78,18.51,14.49,15.23,24.0619047619048,23.835,22.4425,22.2636363636364,22.8125,17.2283333333333,3,10,0,0,0,0,2,4,0,8.5,12.8,1,1,2,2,0,3,0,0.686761087013467,0.581844483772812,0.48596663374835,0.855741059268399,1.50989999999934,380.168943341703,374.232774083352,82.5270298943571,85.9386487497024,10,20,20,20,10,20,10,20,10,20
1948,862.9,15.23,14.275,16.865,15.78,18.51,22.0428571428571,23.8625,22,22.7636363636364,22.2975,20.1416666666667,6,12,0,0,0,0,1,7,11.4,0,0,5,7,2,2,0,0,0,0.663371827264463,0.57427233668594,0.445541390939214,0.929870473289871,1.50989999999794,397.067586628415,398.170765082629,81.3219280943759,80.1609970581636,10,20,20,20,10,20,10,20,10,20
1949,669.5,15.82,15.635,17.58,14.275,16.865,22.7714285714286,25.4475,20.5,25.1681818181818,26.6225,22.5733333333333,4,4,0,0,0,0,3,9,0,0,0,0,2,2,2,0,0,0.0101629296454429,0.5921561388079,0.511199258388566,0.421994640943318,0.776579197595502,1.50989999999978,380.319053431687,382.037227898257,76.2029341132639,75.6425293492004,10,20,20,20,10,20,10,20,10,20
1950,691.5,18.14,19.585,17.45,15.635,17.58,22.9880952380952,23.0025,21.4325,20.1136363636364,21.665,22.2616666666667,1,2,0,0,0,0,3,2,23.9,3,3.1,7,14,5,5,1,1,0.000614230286672472,0.695192468955039,0.539085467213798,0.383822703266404,0.903585739537942,1.50989999999955,389.451582689824,392.609469358768,74.8979064765879,78.7938976453191,10,20,20,20,10,20,10,20,10,20
1951,965.6,16.9366666666667,16.95,16.23,19.585,17.45,22.9166666666667,22.655,21.6675,18.4409090909091,20.4975,18.4166666666667,3,5,0,0,0,0,2,1,39.1,18.2,4.4,6,11,4,4,3,2,0.000350252045432275,0.622385151012125,0.455302845922506,0.350825820741538,0.905513537248959,1.50989999999897,401.090757946743,401.511275250988,117.809493016055,115.742832927998,10,20,20,20,10,20,10,20,10,20
1952,517.7,19.74,17.45,20.785,16.95,16.23,23.0071428571429,23.3575,22.3575,16.4545454545455,19.06,15.7716666666667,1,8,0,0,0,0,4,5,1.6,43,0,4,4,6,6,3,0,0.000710497065393803,0.633757120449528,0.532722874364121,0.45046664660686,0.88568112610229,1.50989999999752,389.509234789375,384.708513293092,151.690873433085,154.929110661548,10,20,20,20,10,20,10,20,10,20
1953,1108.6,20.67,17.43,23.21,17.45,20.785,22.652380952381,22.3675,21.975,23.2136363636364,25.8675,17.335,0,2,0,0,0,0,0,0,0,0,49.3,0,0,2,2,3,5,0.00163226588666182,0.602393747190524,0.502467178284797,0.41228950900177,0.95375085286411,1.50989999999981,370.278255204012,362.822033861417,144.66593807563,142.473437614321,10,20,20,20,10,20,10,20,10,20
1954,1067.5,17.2433333333333,17.395,18.2775,17.43,23.21,22.1047619047619,25.3875,21.5475,19.4272727272727,20.31,18.5966666666667,1,1,0,0,0,0,0,11,0,1.2,0,0,4,0,0,1,0,0.000228876805261109,0.65768333734689,0.509082897581974,0.384369631591324,1.02111971959464,1.50989999999924,376.675932777134,374.91818434309,99.6022126556014,101.118559171751,10,20,20,20,10,20,10,20,10,20
